"datA","datB","datC","datD"
72.0230505485277,61.2890951521562,38.6590807139741,60.1932853101563
63.1602135900393,92.4858095042585,67.1949173148899,70.2043941529482
61.517242768733,83.4076601095034,50.9972390640063,73.4205224675125
67.2365356621742,72.2183251296734,40.4993072906142,64.7410004864503
89.7350959657902,91.5205566606443,54.2739318239462,42.2800513749266
61.0363169227467,71.6043480444648,57.1202572859772,69.3218398672788
52.6725779124751,59.6167715381751,51.6626237634489,78.8573421595869
54.5588569460621,29.6956920464677,28.2868439917607,80.3018395799494
54.5399566359957,76.6354184449169,47.8362669740322,75.8331413376472
50.8218736267336,43.9084733140825,34.2978468773125,79.6947471428975
74.7655833714056,22.6723157574242,-2.83195861086196,55.9118879664344
79.6459388074378,61.2488465820504,45.8124747750414,53.6529576365923
62.8889598477322,48.8126543585481,35.5288573961975,70.8962848502056
58.2748247445628,78.1190139146303,48.2525189591353,76.5684648537941
74.1902107521426,38.1639253720163,32.5731725617765,58.2110182804055
64.5678143416069,84.5701548380449,69.1177054883584,66.9163091267922
61.5986416928007,82.3670428985976,52.8723992122584,71.9605750896499
56.9199055318027,81.2916899933285,79.1418874724573,76.3136861379021
53.4678487033042,104.490163842104,68.3244068491084,81.1902405372431
90.5308866667129,56.4086718329438,30.8449496080377,41.7445733418189
78.2722440527599,48.4055738264243,16.8615126909236,53.2396255186446
53.0769843108202,37.9710540719332,35.7682357527317,77.9036526846984
65.9779117564761,61.7962785863416,51.2387953751818,67.8019121714312
42.0709800412813,54.9147683229055,26.2620990290995,92.6198105576979
51.1693130149832,65.9653580495328,47.6631979485214,82.3734357119212
48.3920922816558,44.4564609743885,28.9845631133995,82.5534849696034
69.8256010814122,53.4277016079626,34.8965418773345,61.2497855482605
59.7422854130581,72.9950761822066,65.4391825412413,71.6870570526499
60.6160222484368,50.697941227097,38.3035888860262,73.1781545082004
72.7124295516288,27.7475451611918,23.2485355463814,62.0192895627232
67.8008450305703,53.1647975556661,42.237778790306,66.6878358443585
60.7566392796728,50.6498176803892,47.2551330750888,74.219898989875
59.1608949792959,88.9851365525462,61.1971622899362,71.9561533843711
69.7587622895532,71.025829855527,42.0425751713917,60.6374874156739
64.6896923685867,92.6863059483352,73.3977828256669,67.8093383888759
56.2121110817758,46.329533656469,17.4511089021027,77.4873344296715
45.7482825661134,54.3259613736136,43.8232124371989,89.1618151241857
47.3891230742669,45.6439209884884,31.0642217534515,82.7671433891879
78.5508563928542,82.0575413118663,62.608830035812,56.3516920571911
61.4712190396022,103.849279189183,66.0298641749456,73.4707834943329
50.3627709301998,78.2433939652714,46.3660339566144,82.3883164834353
43.6402305853992,94.0375284430384,82.3717161220312,89.6319289169766
78.9610759561685,67.3924173601627,58.7754994165808,54.0396122136816
62.953196935458,106.14031653963,81.3250547472387,70.5403654076067
77.0278433730116,53.5994383950272,34.6556420322994,54.1311257231294
79.2387097857745,80.7863078196132,60.3725959010952,55.0177083823046
66.7399202919973,114.692145957281,74.7118516253731,63.856466610037
